event-id,visible,timestamp,location-long,location-lat,comments,eobs:temperature,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name,utm-easting,utm-northing,utm-zone,study-timezone,study-local-timestamp
1715414,true,2005-01-12 00:00:41.000,38.9237614,-3.8396436,"30",,"gps","Panthera leo","#1940316","Diana","Tsavo Lion Study",491535.4652328855,9575597.26479177,"37S","Eastern African Time",2005-01-12 03:00:41.000
1715415,true,2005-01-12 06:00:48.000,38.9249859,-3.8350118,"34",,"gps","Panthera leo","#1940316","Diana","Tsavo Lion Study",491671.3728803502,9576109.25333934,"37S","Eastern African Time",2005-01-12 09:00:48.000
1715416,true,2005-01-12 18:01:24.000,38.9312856,-3.8288389,"31",,"gps","Panthera leo","#1940316","Diana","Tsavo Lion Study",492370.7584119552,9576791.63402713,"37S","Eastern African Time",2005-01-12 21:01:24.000
1715417,true,2005-02-12 00:00:42.000,38.9329107,-3.8756283,"31",,"gps","Panthera leo","#1940316","Diana","Tsavo Lion Study",492551.59740834846,9571619.77581905,"37S","Eastern African Time",2005-02-12 03:00:42.000
1715418,true,2005-02-12 06:03:02.000,38.9558162,-3.8661086,"34",,"gps","Panthera leo","#1940316","Diana","Tsavo Lion Study",495094.5625743772,9572672.20407262,"37S","Eastern African Time",2005-02-12 09:03:02.000
1715419,true,2005-02-12 12:03:12.000,38.956307,-3.8657851,"37",,"gps","Panthera leo","#1940316","Diana","Tsavo Lion Study",495149.05105033517,9572707.965002628,"37S","Eastern African Time",2005-02-12 15:03:12.000
1715420,true,2005-02-12 18:00:49.000,38.9843564,-3.8595677,"31",,"gps","Panthera leo","#1940316","Diana","Tsavo Lion Study",498263.1805806933,9573395.31457006,"37S","Eastern African Time",2005-02-12 21:00:49.000
1715421,true,2005-03-12 00:00:54.000,38.9856231,-3.8380284,"31",,"gps","Panthera leo","#1940316","Diana","Tsavo Lion Study",498403.77493812767,9575776.164663618,"37S","Eastern African Time",2005-03-12 03:00:54.000
1715422,true,2005-03-12 06:00:53.000,38.9872703,-3.7996358,"33",,"gps","Panthera leo","#1940316","Diana","Tsavo Lion Study",498586.5959330603,9580019.892538352,"37S","Eastern African Time",2005-03-12 09:00:53.000
1715423,true,2005-03-12 18:00:54.000,38.9867835,-3.7915331,"31",,"gps","Panthera leo","#1940316","Diana","Tsavo Lion Study",498532.5318778165,9580915.52296558,"37S","Eastern African Time",2005-03-12 21:00:54.000
1715424,true,2005-04-12 00:00:48.000,38.9339156,-3.8115357,"31",,"gps","Panthera leo","#1940316","Diana","Tsavo Lion Study",492662.61594312143,9578704.26698001,"37S","Eastern African Time",2005-04-12 03:00:48.000
1715425,true,2005-04-12 06:01:23.000,38.9200856,-3.8132376,"34",,"gps","Panthera leo","#1940316","Diana","Tsavo Lion Study",491127.080648986,9578516.017308446,"37S","Eastern African Time",2005-04-12 09:01:23.000
1715426,true,2005-04-12 18:00:55.000,38.9106981,-3.8248524,"30",,"gps","Panthera leo","#1940316","Diana","Tsavo Lion Study",490084.9162420505,9577232.071820967,"37S","Eastern African Time",2005-04-12 21:00:55.000
1715427,true,2005-05-12 00:00:54.000,38.8699549,-3.8531267,"30",,"gps","Panthera leo","#1940316","Diana","Tsavo Lion Study",485561.71559689776,9574106.185809223,"37S","Eastern African Time",2005-05-12 03:00:54.000
1715428,true,2005-05-12 06:01:51.000,38.8236513,-3.8333694,"33",,"gps","Panthera leo","#1940316","Diana","Tsavo Lion Study",480420.38412435533,9576289.146233821,"37S","Eastern African Time",2005-05-12 09:01:51.000
1715429,true,2005-05-12 12:00:52.000,38.8236536,-3.8331395,"36",,"gps","Panthera leo","#1940316","Diana","Tsavo Lion Study",480420.6342603371,9576314.558404518,"37S","Eastern African Time",2005-05-12 15:00:52.000
1715430,true,2005-05-12 18:00:54.000,38.8170115,-3.8103564,"31",,"gps","Panthera leo","#1940316","Diana","Tsavo Lion Study",479682.6374810602,9578832.746061694,"37S","Eastern African Time",2005-05-12 21:00:54.000
1715431,true,2005-06-12 00:00:42.000,38.8287286,-3.735666,"32",,"gps","Panthera leo","#1940316","Diana","Tsavo Lion Study",480981.97667579947,9587088.942493541,"37S","Eastern African Time",2005-06-12 03:00:42.000
1715432,true,2005-06-12 06:01:41.000,38.8648178,-3.7215043,"35",,"gps","Panthera leo","#1940316","Diana","Tsavo Lion Study",484989.09959981416,9588655.00491713,"37S","Eastern African Time",2005-06-12 09:01:41.000
1715433,true,2005-06-12 12:01:52.000,38.8647785,-3.7215049,"38",,"gps","Panthera leo","#1940316","Diana","Tsavo Lion Study",484984.7356517093,9588654.93792772,"37S","Eastern African Time",2005-06-12 15:01:52.000
1715434,true,2005-06-12 18:00:48.000,38.8817575,-3.7070873,"31",,"gps","Panthera leo","#1940316","Diana","Tsavo Lion Study",486869.9073947844,9590248.8571444,"37S","Eastern African Time",2005-06-12 21:00:48.000
1715357,true,2005-06-25 10:51:37.000,38.870628,-3.788616,"36",,"gps","Panthera leo","#1940316","Diana","Tsavo Lion Study",485635.373868466,9581236.903923668,"37S","Eastern African Time",2005-06-25 13:51:37.000
1715435,true,2005-06-25 10:51:37.000,38.870628,-3.788616,"36",,"gps","Panthera leo","#1940316","Diana","Tsavo Lion Study",485635.373868466,9581236.903923668,"37S","Eastern African Time",2005-06-25 13:51:37.000
1715358,true,2005-06-25 12:00:42.000,38.8705997,-3.7886498,"32",,"gps","Panthera leo","#1940316","Diana","Tsavo Lion Study",485632.23217258503,9581233.16736594,"37S","Eastern African Time",2005-06-25 15:00:42.000
1715436,true,2005-06-25 12:00:42.000,38.8705997,-3.7886498,"32",,"gps","Panthera leo","#1940316","Diana","Tsavo Lion Study",485632.23217258503,9581233.16736594,"37S","Eastern African Time",2005-06-25 15:00:42.000
1715437,true,2005-07-12 00:00:23.000,38.9370422,-3.6879458,"31",,"gps","Panthera leo","#1940316","Diana","Tsavo Lion Study",493008.782353447,9592365.285299106,"37S","Eastern African Time",2005-07-12 03:00:23.000
1715438,true,2005-07-12 12:02:17.000,38.9649943,-3.7181153,"36",,"gps","Panthera leo","#1940316","Diana","Tsavo Lion Study",496112.8859469232,9589030.67945575,"37S","Eastern African Time",2005-07-12 15:02:17.000
1715439,true,2005-07-12 18:01:24.000,38.9656724,-3.7275217,"30",,"gps","Panthera leo","#1940316","Diana","Tsavo Lion Study",496188.2241985285,9587990.948382353,"37S","Eastern African Time",2005-07-12 21:01:24.000
1715440,true,2005-08-10 16:04:54.000,38.9199658,-3.8041695,"31",,"gps","Panthera leo","#1940316","Diana","Tsavo Lion Study",491113.6862065459,9579518.35897095,"37S","Eastern African Time",2005-08-10 19:04:54.000
